,barrio_id,setu_ccnct,dane_area_m2,barrio_dane_id,perc_m2_barrio
135,172,080011000000001104,104055.4466,135,1.0
136,174,080011000000003716,1910493.881,136,1.0
137,175,080011000000001102,58650.64389,137,1.0
138,176,080011000000000404,1002489.259,138,1.0
139,178,080011000000002401,191387.2099,139,1.0
140,179,080011000000002402,180468.3617,140,1.0
141,180,080011000000000224,36304.0984,141,0.0350234636446236
142,180,080011000000000225,349361.575,142,0.337037771494167
143,180,080011000000003702,650899.3782,143,0.62793876486121
144,181,080011000000001605,305186.2249,144,1.0
145,182,080011000000002504,270602.8726,145,1.0
146,183,080011000000000702,606892.3511,146,1.0
147,184,080011000000000703,349307.6764,147,1.0
148,185,080011000000000601,237215.1659,148,1.0
149,186,080011000000003708,1109418.246,149,1.0
150,188,080011000000003101,298646.9854,150,0.354067500013998
151,188,080011000000003707,544827.7345,151,0.645932499986002
